,name,posts,followers,following,likes,comments,description,date,img_src,post_url
0,jamie_karam,37,180,231,31,5,Steamed Salmon! Trying out food photography. Prepared with love by,2020-05-11T19:49:26.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/CAD1W62F0UH/
1,jamie_karam,37,180,231,24,1,Remember when we could travel?,2020-05-07T17:06:19.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/B_5PgnvFhdY/
2,jamie_karam,37,180,231,46,6,Sunrise over Pai,2019-03-05T13:41:34.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/BuoPDmNlKGq/
3,jamie_karam,37,180,231,29,1,Meditation Time,2019-02-26T23:40:36.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/BuXSC7qFjjp/
4,jamie_karam,37,180,231,70,7,New whip,2018-11-23T18:47:52.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/BqiJByZlwtg/
5,jamie_karam,37,180,231,28,Error,"<span class="""">The Industrial Promotion Hall now called the Atomic Bomb Dome barley left standing after the A-Bomb detonated over Hiroshima. It is now a monument to the power of Nuclear weapons.</span>",2018-10-06T11:30:47.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/Bolw2kPHyMV/
6,jamie_karam,37,180,231,46,4,Brooklyn Bridge 🌃,2018-06-22T17:19:45.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/BkVchoIHSwc/
7,jamie_karam,37,180,231,36,6,Shooting buds with my bud!,2018-05-26T15:14:18.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/BjPstMSnzKV/
8,jamie_karam,37,180,231,55,2,Brooklyn represent 🖖,2018-05-01T16:07:16.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/BiPa5Vsn8Hz/
9,jamie_karam,37,180,231,32,4,Team Selfie!,2018-02-22T18:11:29.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66415365_2306399479449798_2538430726836060160_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=2a2Dm1wA2YcAX80VLvK&oh=77e4c7d9f206cb8b2b898c9ad7201a0e&oe=5F74F3A2,https://www.instagram.com/p/BfgjDjigFrN/
